           x           y
  22344.5741   2783.8261
  22379.9295   2757.1822
  22415.2848   2730.4403
  22450.6401   2703.6002
  22485.9955   2676.6620
  22521.3508   2649.6258
  22556.7062   2622.4914
  22592.0615   2595.2589
  22627.4168   2567.9284
  22662.7722   2540.4997
  22698.1275   2512.9729
  22733.4829   2485.3481
  22768.8382   2457.6251
  22804.1935   2429.8041
  22839.5489   2401.8849
  22874.9042   2373.8676
  22910.2596   2345.7523
  22945.6149   2317.5388
  22980.9702   2289.2272
  23016.3256   2260.8176
  23051.6809   2232.3098
  23087.0362   2203.7039
  23122.3916   2175.0000
  23157.7469   2146.1979
  23193.1023   2117.2977
  23228.4576   2088.2995
  23263.8129   2059.2031
  23299.1683   2030.0087
  23334.5236   2000.7161
  23369.8790   1971.3254
  23405.2343   1941.8367
  23440.5896   1912.2498
  23475.9450   1882.5648
  23511.3003   1852.7818
  23546.6556   1822.9006
  23582.0110   1792.9213
  23617.3663   1762.8440
  23652.7217   1732.6685
  23688.0770   1702.3949
  23723.4323   1672.0233
  23758.7877   1641.5535
  23794.1430   1610.9857
  23829.4984   1580.3197
  23864.8537   1549.5556
  23900.2090   1518.6935
  23935.5644   1487.7332
  23970.9197   1456.6748
  24006.2751   1425.5184
  24041.6304   1394.2638
  24076.9857   1362.9111
  24112.3411   1331.4604
  24147.6964   1299.9115
  24183.0517   1268.2645
  24218.4071   1236.5195
  24253.7624   1204.6763
  24289.1178   1172.7350
  24324.4731   1140.6957
  24359.8284   1108.5582
  24395.1838   1076.3227
  24430.5391   1043.9890
  24465.8945   1011.5572
  24501.2498    979.0274
  24536.6051    946.3994
  24571.9605    913.6733
  24607.3158    880.8492
  24642.6712    847.9269
  24678.0265    814.9065
  24713.3818    781.7881
  24748.7372    748.5715
  24784.0925    715.2568
  24819.4478    681.8441
  24854.8032    648.3332
  24890.1585    614.7243
  24925.5139    581.0172
  24960.8692    547.2120
  24996.2245    513.3088
  25031.5799    479.3074
  25066.9352    445.2079
  25102.2906    411.0104
  25137.6459    376.7147
  25173.0012    342.3209
  25208.3566    307.8291
  25243.7119    273.2391
  25279.0673    238.5510
  25314.4226    203.7649
  25349.7779    168.8806
  25385.1333    133.8982
  25420.4886     98.8178
  25455.8439     63.6392
  25491.1993     28.3626
  25526.5546     -7.0122
